CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
14,1.0,STANDARD,16,-7.054269849839513e-16,270.8115234375,21,270.8115234375,2018-04-28,31,0,R_A5,1711.8695068359375
15,1.0,STANDARD,17,-6.080724590978902e-16,271.01715087890625,21,271.01715087890625,2018-04-28,31,0,R_A5,1713.68603515625
16,1.0,STANDARD,18,-1.0638576057627586e-15,271.15325927734375,21,271.15325927734375,2018-04-28,31,0,R_A5,1714.890625
17,1.0,STANDARD,19,-1.1457949143989297e-15,271.2009582519531,21,271.2009582519531,2018-04-28,31,0,R_A5,1715.3287353515625
18,1.0,STANDARD,26,-4.217357393214785e-14,271.1575622558594,21,271.1575622558594,2018-04-28,31,0,R_A5,1716.4935302734375
19,1.0,STANDARD,27,-5.710908227438485e-14,271.363037109375,21,271.363037109375,2018-04-28,31,0,R_A5,1718.6612548828125
20,1.0,STANDARD,28,-1.6152769411629248e-21,287.7596435546875,21,287.7596435546875,2018-04-28,31,0,R_A5,1720.8289794921875
21,1.0,STANDARD,29,-5.848993010112635e-24,300.00189208984375,21,300.00189208984375,2018-04-28,31,0,R_A5,1722.9967041015625
22,1.0,STANDARD,30,4.190589365905388e-25,304.4476318359375,21,304.4476318359375,2018-04-28,31,0,R_A5,1725.164306640625
1,0.6486921906471252,STANDARD,1,0.0,289.805908203125,41,289.805908203125,2018-07-03,28,0,R_A3,1607.113037109375
2,0.19987501204013824,STANDARD,2,0.0,289.94586181640625,41,289.94586181640625,2018-07-03,28,0,R_A3,1609.1912841796875
3,0.2004154920578003,STANDARD,3,0.0,290.0846252441406,41,290.0846252441406,2018-07-03,28,0,R_A3,1611.2696533203125
4,0.31816571950912476,STANDARD,4,0.0,290.2221374511719,41,290.2221374511719,2018-07-03,28,0,R_A3,1613.3480224609375
5,0.6488352417945862,STANDARD,5,0.0,290.3586730957031,41,290.3586730957031,2018-07-03,28,0,R_A3,1615.42626953125
6,0.24512292444705963,STANDARD,6,0.0,290.4977722167969,41,290.4977722167969,2018-07-03,28,0,R_A3,1617.504638671875
7,0.19934256374835968,STANDARD,6,0.0,290.0442199707031,41,290.0442199707031,2018-07-03,29,0,R_A3,1610.867431640625
8,0.20436279475688934,STANDARD,7,0.0,290.1764831542969,41,290.1764831542969,2018-07-03,29,0,R_A3,1612.847412109375
9,0.20436184108257294,STANDARD,8,0.0,290.3087158203125,41,290.3087158203125,2018-07-03,29,0,R_A3,1614.827392578125
10,0.8087154626846313,STANDARD,9,0.0,290.47698974609375,41,290.47698974609375,2018-07-03,29,0,R_A3,1616.807373046875
11,0.8123046159744263,STANDARD,10,0.0,291.05889892578125,41,291.05889892578125,2018-07-03,29,0,R_A3,1618.787353515625
12,0.05018661916255951,STANDARD,11,0.0,290.0639343261719,41,290.0639343261719,2018-07-03,29,0,R_A3,1620.9696044921875
13,0.05855891853570938,STANDARD,12,0.0,290.2234191894531,41,290.2234191894531,2018-07-03,29,0,R_A3,1623.3543701171875
14,0.3870689868927002,STANDARD,13,0.0,290.3841247558594,41,290.3841247558594,2018-07-03,29,0,R_A3,1625.7391357421875
