SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
0.0,29,5,0.7876190543174744,278.2221984863281,STANDARD,6,278.2221984863281,41,R_A3,2018-07-03,1606.3472900390625,0
0.0,29,6,0.649800717830658,278.3752746582031,STANDARD,7,278.3752746582031,41,R_A3,2018-07-03,1608.519775390625,0
0.0,29,7,0.19496473670005798,278.540771484375,STANDARD,8,278.540771484375,41,R_A3,2018-07-03,1610.692138671875,0
0.0,29,8,0.19426897168159485,278.68524169921875,STANDARD,9,278.68524169921875,41,R_A3,2018-07-03,1612.8646240234375,0
0.0,29,9,0.7945061922073364,278.91107177734375,STANDARD,10,278.91107177734375,41,R_A3,2018-07-03,1615.0369873046875,0
0.0,29,10,0.2779378592967987,279.03851318359375,STANDARD,11,279.03851318359375,41,R_A3,2018-07-03,1617.20947265625,0
0.0,29,11,0.04687068983912468,287.10418701171875,STANDARD,12,287.10418701171875,41,R_A3,2018-07-03,1619.4425048828125,0
0.0,29,12,0.05301593989133835,287.2574768066406,STANDARD,13,287.2574768066406,41,R_A3,2018-07-03,1621.736328125,0
0.0,29,13,0.36698752641677856,287.4117126464844,STANDARD,14,287.4117126464844,41,R_A3,2018-07-03,1624.030029296875,0
0.0,29,14,0.22351554036140442,287.580810546875,STANDARD,15,287.580810546875,41,R_A3,2018-07-03,1626.3238525390625,0
0.0,29,15,0.4950490891933441,287.7852478027344,STANDARD,16,287.7852478027344,41,R_A3,2018-07-03,1628.61767578125,0
0.0,29,16,0.7954924702644348,287.92327880859375,STANDARD,17,287.92327880859375,41,R_A3,2018-07-03,1630.801513671875,0
0.0,29,17,0.7836138010025024,287.973876953125,STANDARD,18,287.973876953125,41,R_A3,2018-07-03,1631.9638671875,0
0.0,29,27,0.19116805493831635,285.53118896484375,STANDARD,19,285.53118896484375,41,R_A3,2018-07-03,1633.9691162109375,0
0.0,29,28,0.043073564767837524,285.758544921875,STANDARD,20,285.758544921875,41,R_A3,2018-07-03,1637.7288818359375,0
0.0,29,29,0.046252183616161346,286.0096740722656,STANDARD,21,286.0096740722656,41,R_A3,2018-07-03,1641.488525390625,0
0.0,29,30,0.649453341960907,286.18902587890625,STANDARD,22,286.18902587890625,41,R_A3,2018-07-03,1645.2481689453125,0
0.0,29,31,0.05854881554841995,286.3206481933594,STANDARD,23,286.3206481933594,41,R_A3,2018-07-03,1649.0078125,0
0.0,30,1,0.04973668232560158,276.67401123046875,STANDARD,1,276.67401123046875,52,R_A4,2018-09-12,1630.30810546875,0
0.0,31,1,0.04715445265173912,276.5204772949219,STANDARD,2,276.5204772949219,52,R_A4,2018-09-12,1626.0599365234375,0
0.0,31,2,0.048260390758514404,276.6573181152344,STANDARD,3,276.6573181152344,52,R_A4,2018-09-12,1628.114013671875,0
0.0,31,3,0.04838443174958229,276.7941589355469,STANDARD,4,276.7941589355469,52,R_A4,2018-09-12,1630.168212890625,0
