CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
281.0172119140625,0,0.658336877822876,29,STANDARD,2018-07-03,281.0172119140625,24,18,41,0.0,1633.484130859375,R_A3
281.2525634765625,0,0.04313996061682701,29,STANDARD,2018-07-03,281.2525634765625,25,19,41,0.0,1637.021240234375,R_A3
281.4886474609375,0,0.04833849146962166,29,STANDARD,2018-07-03,281.4886474609375,26,20,41,0.0,1640.5584716796875,R_A3
281.7087097167969,0,0.6682385206222534,29,STANDARD,2018-07-03,281.7087097167969,27,21,41,0.0,1644.095703125,R_A3
281.9966735839844,0,0.05943843722343445,29,STANDARD,2018-07-03,281.9966735839844,28,22,41,0.0,1647.6328125,R_A3
277.02337646484375,0,0.05342964455485344,30,STANDARD,2018-09-12,277.02337646484375,1,1,52,0.0,1636.0286865234375,R_A4
276.8161926269531,0,0.04901156947016716,31,STANDARD,2018-09-12,276.8161926269531,1,2,52,0.0,1628.831298828125,R_A4
276.94683837890625,0,0.05029575526714325,31,STANDARD,2018-09-12,276.94683837890625,2,3,52,0.0,1630.7926025390625,R_A4
277.0774230957031,0,0.05419540777802467,31,STANDARD,2018-09-12,277.0774230957031,3,4,52,0.0,1632.75390625,R_A4
277.20806884765625,0,0.053435128182172775,31,STANDARD,2018-09-12,277.20806884765625,4,5,52,0.0,1634.715087890625,R_A4
277.2646179199219,0,0.05495519936084747,32,STANDARD,2018-09-12,277.2646179199219,4,6,52,0.0,1632.3978271484375,R_A4
277.16168212890625,0,0.0584384948015213,32,STANDARD,2018-09-12,277.16168212890625,4,7,51,0.0,1637.8333740234375,R_A4
277.2188720703125,0,0.05679234862327576,33,STANDARD,2018-09-12,277.2188720703125,4,8,51,0.0,1636.3525390625,R_A4
277.4056091308594,0,0.06025930121541023,33,STANDARD,2018-09-12,277.4056091308594,5,9,51,0.0,1638.140625,R_A4
277.398193359375,0,0.15751804411411285,33,STANDARD,2018-09-12,277.398193359375,5,10,50,0.0,1646.3131103515625,R_A4
277.35748291015625,0,0.18545162677764893,34,STANDARD,2018-09-12,277.35748291015625,5,11,50,0.0,1641.8995361328125,R_A4
277.10321044921875,0,0.11844563484191895,34,STANDARD,2018-09-12,277.10321044921875,4,12,50,0.0,1640.0670166015625,R_A4
277.66058349609375,0,0.09672386199235916,35,STANDARD,2018-09-12,277.66058349609375,4,13,50,0.0,1637.3021240234375,R_A4
279.6084289550781,0,0.055886492133140564,35,STANDARD,2018-09-12,279.6084289550781,28,14,49,0.0,1642.463134765625,R_A4
279.1924133300781,0,0.1254296898841858,35,STANDARD,2018-09-12,279.1924133300781,27,15,49,0.0,1636.24169921875,R_A4
279.5630798339844,0,0.2190094143152237,36,STANDARD,2018-09-12,279.5630798339844,27,16,49,0.0,1640.0711669921875,R_A4
