WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A3,284.7364196777344,29,1635.744873046875,26,0.04454483091831207,2018-07-03,0,19,STANDARD,0.0,41,284.7364196777344
R_A3,284.9912414550781,29,1639.5606689453125,27,0.18392233550548553,2018-07-03,0,20,STANDARD,0.0,41,284.9912414550781
R_A3,287.851806640625,29,1643.37646484375,28,0.9999997615814209,2018-07-03,0,21,STANDARD,-1.693240569977661e-08,41,287.851806640625
R_A3,285.82672119140625,29,1647.1922607421875,29,0.2742360234260559,2018-07-03,0,22,STANDARD,0.0,41,285.82672119140625
R_A4,278.2135009765625,30,1634.167236328125,1,0.05121724680066109,2018-09-12,0,1,STANDARD,0.0,52,278.2135009765625
R_A4,277.9258728027344,31,1627.5987548828125,1,0.0470542348921299,2018-09-12,0,2,STANDARD,0.0,52,277.9258728027344
R_A4,278.06365966796875,31,1629.6656494140625,2,0.049704574048519135,2018-09-12,0,3,STANDARD,0.0,52,278.06365966796875
R_A4,278.20147705078125,31,1631.732666015625,3,0.05276338756084442,2018-09-12,0,4,STANDARD,0.0,52,278.20147705078125
R_A4,278.3393249511719,31,1633.7996826171875,4,0.14982636272907257,2018-09-12,0,5,STANDARD,0.0,52,278.3393249511719
R_A4,278.413818359375,32,1632.893798828125,4,0.053903840482234955,2018-09-12,0,6,STANDARD,0.0,52,278.413818359375
R_A4,278.3783874511719,32,1635.3931884765625,4,0.05588989704847336,2018-09-12,0,7,STANDARD,0.0,51,278.3783874511719
R_A4,278.6705322265625,33,1636.1708984375,4,0.05777889862656593,2018-09-12,0,8,STANDARD,0.0,51,278.6705322265625
R_A4,278.7971496582031,33,1638.071533203125,5,0.0603383332490921,2018-09-12,0,9,STANDARD,0.0,51,278.7971496582031
R_A4,278.80743408203125,33,1641.166015625,5,0.06046594679355621,2018-09-12,0,10,STANDARD,0.0,50,278.80743408203125
R_A4,278.9802551269531,34,1640.28466796875,5,0.06098469719290733,2018-09-12,0,11,STANDARD,0.0,50,278.9802551269531
R_A4,278.853515625,34,1638.3848876953125,4,0.0785074234008789,2018-09-12,0,12,STANDARD,0.0,50,278.853515625
