CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
41,0,1609.2603759765625,0.0,0.6488170027732849,R_A3,2018-07-03,1,28,288.670654296875,288.670654296875,STANDARD,1
41,0,1611.3494873046875,0.0,0.19640213251113892,R_A3,2018-07-03,2,28,288.81195068359375,288.81195068359375,STANDARD,2
41,0,1613.4385986328125,0.0,0.19124643504619598,R_A3,2018-07-03,3,28,288.9518737792969,288.9518737792969,STANDARD,3
41,0,1615.527587890625,0.0,0.3735356628894806,R_A3,2018-07-03,4,28,289.1426696777344,289.1426696777344,STANDARD,4
41,0,1617.61669921875,0.0,0.6488127708435059,R_A3,2018-07-03,5,28,289.3277587890625,289.3277587890625,STANDARD,5
41,0,1619.705810546875,0.0,0.15105487406253815,R_A3,2018-07-03,6,28,289.48345947265625,289.48345947265625,STANDARD,6
41,0,1621.794921875,0.0,0.13414476811885834,R_A3,2018-07-03,7,28,289.6231384277344,289.6231384277344,STANDARD,7
41,0,1623.8839111328125,0.0,0.2101755291223526,R_A3,2018-07-03,8,28,289.7629089355469,289.7629089355469,STANDARD,8
41,0,1615.5555419921875,0.0,0.19782637059688568,R_A3,2018-07-03,9,29,289.1425476074219,289.1425476074219,STANDARD,8
41,0,1617.4500732421875,0.0,0.6849445700645447,R_A3,2018-07-03,10,29,289.282470703125,289.282470703125,STANDARD,9
41,0,1619.344482421875,0.0,0.8022037148475647,R_A3,2018-07-03,11,29,289.8503723144531,289.8503723144531,STANDARD,10
41,0,1621.394287109375,0.0,0.05038230121135712,R_A3,2018-07-03,12,29,290.67626953125,290.67626953125,STANDARD,11
41,0,1623.5992431640625,0.0,0.05370600149035454,R_A3,2018-07-03,13,29,290.8237609863281,290.8237609863281,STANDARD,12
41,0,1625.8043212890625,0.0,0.3718118965625763,R_A3,2018-07-03,14,29,290.971923828125,290.971923828125,STANDARD,13
41,0,1630.175537109375,0.0,0.4982593357563019,R_A3,2018-07-03,15,29,292.3612976074219,292.3612976074219,STANDARD,15
41,0,1631.6993408203125,0.0,0.8019682168960571,R_A3,2018-07-03,16,29,292.46917724609375,292.46917724609375,STANDARD,16
