DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-07-03,0.7963199615478516,STANDARD,9,41,0.0,1614.7083740234375,10,276.5162353515625,0,276.5162353515625,29,R_A3
2018-07-03,0.7923436760902405,STANDARD,10,41,0.0,1616.973388671875,11,277.4879455566406,0,277.4879455566406,29,R_A3
2018-07-03,0.04758195951581001,STANDARD,11,41,0.0,1619.25927734375,12,284.8250427246094,0,284.8250427246094,29,R_A3
2018-07-03,0.05338005721569061,STANDARD,12,41,0.0,1621.5662841796875,13,284.9790954589844,0,284.9790954589844,29,R_A3
2018-07-03,0.35962405800819397,STANDARD,13,41,0.0,1623.873291015625,14,285.1340026855469,0,285.1340026855469,29,R_A3
2018-07-03,0.050922468304634094,STANDARD,14,41,0.0,1626.18017578125,15,285.8311767578125,0,285.8311767578125,29,R_A3
2018-07-03,0.4862042963504791,STANDARD,15,41,0.0,1628.4871826171875,16,285.48114013671875,0,285.48114013671875,29,R_A3
2018-07-03,0.7965298295021057,STANDARD,16,41,0.0,1630.7034912109375,17,285.62762451171875,0,285.62762451171875,29,R_A3
2018-07-03,0.7633835673332214,STANDARD,17,41,0.0,1631.8951416015625,18,285.6249694824219,0,285.6249694824219,29,R_A3
2018-07-03,0.297269344329834,STANDARD,26,41,0.0,1633.9010009765625,19,285.7135925292969,0,285.7135925292969,29,R_A3
2018-07-03,0.04614846780896187,STANDARD,27,41,0.0,1637.6553955078125,20,285.854736328125,0,285.854736328125,29,R_A3
2018-07-03,0.1954696923494339,STANDARD,28,41,0.0,1641.409912109375,21,286.1059265136719,0,286.1059265136719,29,R_A3
2018-07-03,0.8059338331222534,STANDARD,29,41,0.0,1645.1644287109375,22,290.14569091796875,0,290.14569091796875,29,R_A3
2018-07-03,0.11627619713544846,STANDARD,30,41,0.0,1648.9188232421875,23,286.0243225097656,0,286.0243225097656,29,R_A3
2018-09-12,0.04969305172562599,STANDARD,1,52,0.0,1629.692626953125,1,277.85687255859375,0,277.85687255859375,30,R_A4
2018-09-12,0.047128062695264816,STANDARD,1,52,0.0,1625.9342041015625,2,277.64202880859375,0,277.64202880859375,31,R_A4
2018-09-12,0.04822098836302757,STANDARD,2,52,0.0,1627.950927734375,3,277.77642822265625,0,277.77642822265625,31,R_A4
2018-09-12,0.04833820089697838,STANDARD,3,52,0.0,1629.967529296875,4,277.9108581542969,0,277.9108581542969,31,R_A4
2018-09-12,0.05155135318636894,STANDARD,4,52,0.0,1631.984130859375,5,278.0452880859375,0,278.0452880859375,31,R_A4
2018-09-12,0.05354177579283714,STANDARD,5,52,0.0,1634.000732421875,6,278.17974853515625,0,278.17974853515625,31,R_A4
2018-09-12,0.05477219447493553,STANDARD,5,52,0.0,1633.2850341796875,7,278.1584777832031,0,278.1584777832031,32,R_A4
2018-09-12,0.05492040514945984,STANDARD,5,51,0.0,1635.5189208984375,8,278.2425231933594,0,278.2425231933594,32,R_A4
2018-09-12,0.05786849930882454,STANDARD,5,51,0.0,1638.99755859375,9,278.4763488769531,0,278.4763488769531,33,R_A4
2018-09-12,0.05639597028493881,STANDARD,4,51,0.0,1637.209716796875,10,278.3571472167969,0,278.3571472167969,33,R_A4
