SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
-5.896772653501969e-12,31,0,1.0,5,20,R_A5,272.2460021972656,STANDARD,272.2460021972656,5,2018-04-28,1695.8916015625
-1.4133871850674495e-10,31,0,1.0,6,20,R_A5,272.471435546875,STANDARD,272.471435546875,6,2018-04-28,1698.26708984375
-1.8325128740837027e-12,31,0,1.0,7,20,R_A5,273.0279846191406,STANDARD,273.0279846191406,7,2018-04-28,1700.6424560546875
-3.6330691233210644e-10,31,0,1.0,11,21,R_A5,271.3313903808594,STANDARD,271.3313903808594,8,2018-04-28,1696.988037109375
-3.95923932527964e-10,31,0,1.0,12,21,R_A5,271.5523986816406,STANDARD,271.5523986816406,9,2018-04-28,1699.0560302734375
-5.206771125365606e-11,31,0,1.0,13,21,R_A5,271.86865234375,STANDARD,271.86865234375,10,2018-04-28,1701.1240234375
-7.9253617557562e-11,31,0,1.0,14,21,R_A5,272.066650390625,STANDARD,272.066650390625,11,2018-04-28,1703.1920166015625
-2.5369300410416074e-11,31,0,1.0,15,21,R_A5,272.2645263671875,STANDARD,272.2645263671875,12,2018-04-28,1705.260009765625
-4.731801322294116e-12,31,0,1.0,16,21,R_A5,272.6210021972656,STANDARD,272.6210021972656,13,2018-04-28,1707.328125
-2.595020552609295e-12,31,0,1.0,17,21,R_A5,272.8681335449219,STANDARD,272.8681335449219,14,2018-04-28,1709.3961181640625
-1.1512450064435353e-12,31,0,1.0,18,21,R_A5,273.0903625488281,STANDARD,273.0903625488281,15,2018-04-28,1711.4088134765625
-5.18564195490373e-13,31,0,1.0,19,21,R_A5,273.2345275878906,STANDARD,273.2345275878906,16,2018-04-28,1712.9029541015625
-1.6297081956509474e-13,31,0,1.0,25,21,R_A5,281.00921630859375,STANDARD,281.00921630859375,17,2018-04-28,1714.8148193359375
-1.4419899736078934e-13,31,0,1.0,26,21,R_A5,281.27880859375,STANDARD,281.27880859375,18,2018-04-28,1717.4158935546875
-4.987312312447727e-20,31,0,1.0,27,21,R_A5,283.6913757324219,STANDARD,283.6913757324219,19,2018-04-28,1720.0169677734375
-1.2434440693012803e-20,31,0,1.0,28,21,R_A5,292.34210205078125,STANDARD,292.34210205078125,20,2018-04-28,1722.6180419921875
-3.489194000459543e-14,31,0,1.0,29,21,R_A5,287.8233337402344,STANDARD,287.8233337402344,21,2018-04-28,1725.2191162109375
0.0,28,0,0.6494241952896118,1,41,R_A3,280.4546813964844,STANDARD,280.4546813964844,1,2018-07-03,1609.08251953125
0.0,28,0,0.1568259447813034,2,41,R_A3,280.595458984375,STANDARD,280.595458984375,2,2018-07-03,1611.188720703125
0.0,28,0,0.12196730077266693,3,41,R_A3,280.7358703613281,STANDARD,280.7358703613281,3,2018-07-03,1613.2947998046875
0.0,28,0,0.3010971248149872,4,41,R_A3,280.8765869140625,STANDARD,280.8765869140625,4,2018-07-03,1615.40087890625
0.0,28,0,0.8092907071113586,5,41,R_A3,281.6194763183594,STANDARD,281.6194763183594,5,2018-07-03,1617.5069580078125
0.0,28,0,0.21377436816692352,6,41,R_A3,281.7407531738281,STANDARD,281.7407531738281,6,2018-07-03,1619.613037109375
0.0,29,0,0.1672608107328415,6,41,R_A3,281.11199951171875,STANDARD,281.11199951171875,7,2018-07-03,1610.5675048828125
0.0,29,0,0.07186154276132584,7,41,R_A3,281.2375183105469,STANDARD,281.2375183105469,8,2018-07-03,1612.447509765625
0.0,29,0,0.09023439139127731,8,41,R_A3,281.36297607421875,STANDARD,281.36297607421875,9,2018-07-03,1614.3275146484375
0.0,29,0,0.6497695446014404,9,41,R_A3,281.491455078125,STANDARD,281.491455078125,10,2018-07-03,1616.20751953125
0.0,29,0,0.7995573878288269,10,41,R_A3,281.9273376464844,STANDARD,281.9273376464844,11,2018-07-03,1618.0875244140625
0.0,29,0,0.04832783341407776,11,41,R_A3,293.2998046875,STANDARD,293.2998046875,12,2018-07-03,1620.174072265625
0.0,29,0,0.0567188523709774,12,41,R_A3,293.4533386230469,STANDARD,293.4533386230469,13,2018-07-03,1622.46728515625
0.0,29,0,0.37303486466407776,13,41,R_A3,293.60736083984375,STANDARD,293.60736083984375,14,2018-07-03,1624.7603759765625
0.0,29,0,0.49963244795799255,15,41,R_A3,294.21697998046875,STANDARD,294.21697998046875,15,2018-07-03,1629.33349609375
0.0,29,0,0.8058240413665771,16,41,R_A3,294.3418273925781,STANDARD,294.3418273925781,16,2018-07-03,1631.0767822265625
4.1916907702536747e-16,29,0,1.0,25,41,R_A3,299.6510314941406,STANDARD,299.6510314941406,17,2018-07-03,1633.4627685546875
0.0,29,0,0.7650766372680664,26,41,R_A3,285.6624755859375,STANDARD,285.6624755859375,18,2018-07-03,1637.01513671875
0.0,29,0,0.17014527320861816,27,41,R_A3,285.4637756347656,STANDARD,285.4637756347656,19,2018-07-03,1640.567626953125
0.0,29,0,0.2780017852783203,28,41,R_A3,285.7000732421875,STANDARD,285.7000732421875,20,2018-07-03,1644.1199951171875
