SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
1.0,0,2018-04-28,21,28,21,280.2876892089844,R_A5,-7.027834405471067e-20,1719.481201171875,280.2876892089844,STANDARD,31
1.0,0,2018-04-28,21,29,22,293.06060791015625,R_A5,-8.890090059493539e-23,1721.7874755859375,293.06060791015625,STANDARD,31
1.0,0,2018-04-28,21,30,23,303.47467041015625,R_A5,7.106968196424142e-25,1724.0936279296875,303.47467041015625,STANDARD,31
0.6502534747123718,0,2018-07-03,41,1,1,273.2133483886719,R_A3,0.0,1609.54443359375,273.2133483886719,STANDARD,28
0.15029209852218628,0,2018-07-03,41,2,2,273.34368896484375,R_A3,0.0,1611.54541015625,273.34368896484375,STANDARD,28
0.11862531304359436,0,2018-07-03,41,3,3,273.4769287109375,R_A3,0.0,1613.5462646484375,273.4769287109375,STANDARD,28
0.08565085381269455,0,2018-07-03,41,4,4,273.6101989746094,R_A3,0.0,1615.547119140625,273.6101989746094,STANDARD,28
0.1382008045911789,0,2018-07-03,41,4,5,273.0235595703125,R_A3,0.0,1606.85986328125,273.0235595703125,STANDARD,29
0.8079608678817749,0,2018-07-03,41,5,6,273.27532958984375,R_A3,0.0,1608.8907470703125,273.27532958984375,STANDARD,29
0.6497854590415955,0,2018-07-03,41,6,7,273.34326171875,R_A3,0.0,1610.921630859375,273.34326171875,STANDARD,29
0.1960134506225586,0,2018-07-03,41,7,8,273.4898376464844,R_A3,0.0,1612.9525146484375,273.4898376464844,STANDARD,29
0.19904379546642303,0,2018-07-03,41,8,9,273.6250915527344,R_A3,0.0,1614.9833984375,273.6250915527344,STANDARD,29
0.7948125004768372,0,2018-07-03,41,9,10,273.87457275390625,R_A3,0.0,1617.0142822265625,273.87457275390625,STANDARD,29
0.7994775772094727,0,2018-07-03,41,10,11,275.452392578125,R_A3,0.0,1619.045166015625,275.452392578125,STANDARD,29
0.05005907267332077,0,2018-07-03,41,11,12,297.0341796875,R_A3,0.0,1621.18115234375,297.0341796875,STANDARD,29
0.05343962460756302,0,2018-07-03,41,12,13,297.184326171875,R_A3,0.0,1623.422119140625,297.184326171875,STANDARD,29
0.36750563979148865,0,2018-07-03,41,13,14,297.3345947265625,R_A3,0.0,1625.6630859375,297.3345947265625,STANDARD,29
0.6018770337104797,0,2018-07-03,41,15,15,297.75347900390625,R_A3,0.0,1630.1451416015625,297.75347900390625,STANDARD,29
0.8062459826469421,0,2018-07-03,41,16,16,297.8848876953125,R_A3,0.0,1631.949462890625,297.8848876953125,STANDARD,29
0.6490009427070618,0,2018-07-03,41,26,17,286.9758605957031,R_A3,0.0,1634.384521484375,286.9758605957031,STANDARD,29
0.042188093066215515,0,2018-07-03,41,27,18,284.7384033203125,R_A3,0.0,1637.859619140625,284.7384033203125,STANDARD,29
0.04810447618365288,0,2018-07-03,41,28,19,284.970458984375,R_A3,0.0,1641.3348388671875,284.970458984375,STANDARD,29
0.6492305397987366,0,2018-07-03,41,29,20,285.21112060546875,R_A3,0.0,1644.8099365234375,285.21112060546875,STANDARD,29
0.05975328013300896,0,2018-07-03,41,30,21,285.45977783203125,R_A3,0.0,1648.28515625,285.45977783203125,STANDARD,29
0.04932990297675133,0,2018-09-12,52,1,1,280.0287170410156,R_A4,0.0,1631.4986572265625,280.0287170410156,STANDARD,30
0.12441722303628922,0,2018-09-12,52,1,2,279.7341613769531,R_A4,0.0,1626.515869140625,279.7341613769531,STANDARD,31
0.04832802712917328,0,2018-09-12,52,2,3,279.87493896484375,R_A4,0.0,1628.626953125,279.87493896484375,STANDARD,31
0.05085237696766853,0,2018-09-12,52,3,4,280.0157165527344,R_A4,0.0,1630.7379150390625,280.0157165527344,STANDARD,31
0.05249916389584541,0,2018-09-12,52,4,5,280.1564636230469,R_A4,0.0,1632.848876953125,280.1564636230469,STANDARD,31
